# Region type : patch sphere
#      Faces  : 40
#      Area   : 6.276727658e-02
#           Time	areaAverage(p)	areaAverage(U)
         0.00565	1.013158834e+05	(-6.747408788e-20 0.000000000e+00 -2.698963515e-20)
        0.005675	1.013157723e+05	(9.446372304e-20 0.000000000e+00 -2.294118988e-19)
          0.0057	1.013156632e+05	(4.048445273e-20 0.000000000e+00 1.754326285e-19)
        0.005725	1.013155570e+05	(-1.619378109e-19 0.000000000e+00 6.747408788e-20)
         0.00575	1.013154541e+05	(-8.096890546e-20 0.000000000e+00 1.214533582e-19)
        0.005775	1.013153550e+05	(0.000000000e+00 0.000000000e+00 2.698963515e-20)
          0.0058	1.013152602e+05	(5.397927031e-20 0.000000000e+00 -2.698963515e-20)
        0.005825	1.013151698e+05	(-4.048445273e-20 0.000000000e+00 1.349481758e-20)
         0.00585	1.013150839e+05	(2.024222636e-19 0.000000000e+00 2.698963515e-20)
        0.005875	1.013150025e+05	(-4.048445273e-20 0.000000000e+00 1.349481758e-20)
          0.0059	1.013149256e+05	(-1.349481758e-19 0.000000000e+00 -3.238756218e-19)
        0.005925	1.013148529e+05	(4.048445273e-20 0.000000000e+00 6.747408788e-20)
         0.00595	1.013147843e+05	(0.000000000e+00 0.000000000e+00 4.048445273e-20)
        0.005975	1.013147194e+05	(-1.349481758e-20 0.000000000e+00 0.000000000e+00)
           0.006	1.013146580e+05	(1.484429933e-19 0.000000000e+00 -3.643600746e-19)
        0.006025	1.013145999e+05	(1.349481758e-20 0.000000000e+00 1.349481758e-20)
         0.00605	1.013145446e+05	(1.349481758e-19 0.000000000e+00 -1.349481758e-19)
        0.006075	1.013144921e+05	(6.747408788e-20 0.000000000e+00 -6.747408788e-20)
          0.0061	1.013144420e+05	(-1.889274461e-19 0.000000000e+00 1.754326285e-19)
        0.006125	1.013143943e+05	(0.000000000e+00 0.000000000e+00 1.889274461e-19)
         0.00615	1.013143487e+05	(2.698963515e-20 0.000000000e+00 0.000000000e+00)
        0.006175	1.013143053e+05	(-1.754326285e-19 0.000000000e+00 -5.397927031e-20)
          0.0062	1.013142639e+05	(-1.754326285e-19 0.000000000e+00 1.619378109e-19)
        0.006225	1.013142244e+05	(1.889274461e-19 0.000000000e+00 -1.349481758e-19)
         0.00625	1.013141870e+05	(-3.238756218e-19 0.000000000e+00 3.238756218e-19)
        0.006275	1.013141515e+05	(1.484429933e-19 0.000000000e+00 -1.619378109e-19)
          0.0063	1.013141180e+05	(3.103808043e-19 0.000000000e+00 1.349481758e-19)
        0.006325	1.013140865e+05	(-1.349481758e-20 0.000000000e+00 1.889274461e-19)
         0.00635	1.013140570e+05	(-1.349481758e-19 0.000000000e+00 -2.968859867e-19)
        0.006375	1.013140295e+05	(-2.698963515e-20 0.000000000e+00 -1.889274461e-19)
          0.0064	1.013140040e+05	(8.096890546e-20 0.000000000e+00 -8.096890546e-20)
        0.006425	1.013139805e+05	(1.079585406e-19 0.000000000e+00 3.508652570e-19)
         0.00645	1.013139591e+05	(-8.096890546e-20 0.000000000e+00 8.096890546e-20)
        0.006475	1.013139398e+05	(0.000000000e+00 0.000000000e+00 -2.159170812e-19)
          0.0065	1.013139226e+05	(2.698963515e-20 0.000000000e+00 1.889274461e-19)
        0.006525	1.013139075e+05	(3.508652570e-19 0.000000000e+00 8.096890546e-20)
         0.00655	1.013138946e+05	(-1.079585406e-19 0.000000000e+00 1.079585406e-19)
        0.006575	1.013138840e+05	(2.429067164e-19 0.000000000e+00 -2.698963515e-20)
          0.0066	1.013138757e+05	(0.000000000e+00 0.000000000e+00 -2.159170812e-19)
        0.006625	1.013138700e+05	(-8.096890546e-20 0.000000000e+00 -3.508652570e-19)
         0.00665	1.013138667e+05	(-2.698963515e-19 0.000000000e+00 2.429067164e-19)
        0.006675	1.013138661e+05	(1.349481758e-19 0.000000000e+00 -8.096890546e-20)
          0.0067	1.013138683e+05	(0.000000000e+00 0.000000000e+00 1.889274461e-19)
        0.006725	1.013138733e+05	(2.968859867e-19 0.000000000e+00 1.349481758e-19)
         0.00675	1.013138812e+05	(-2.698963515e-20 0.000000000e+00 5.397927031e-20)
        0.006775	1.013138922e+05	(-3.508652570e-19 0.000000000e+00 2.698963515e-19)
          0.0068	1.013139062e+05	(2.429067164e-19 0.000000000e+00 -6.747408788e-19)
        0.006825	1.013139233e+05	(-2.698963515e-20 0.000000000e+00 2.698963515e-20)
         0.00685	1.013139435e+05	(0.000000000e+00 0.000000000e+00 -1.889274461e-19)
        0.006875	1.013139667e+05	(-8.096890546e-20 0.000000000e+00 1.079585406e-19)
          0.0069	1.013139931e+05	(-1.349481758e-19 0.000000000e+00 1.349481758e-19)
        0.006925	1.013140224e+05	(-2.968859867e-19 0.000000000e+00 3.238756218e-19)
         0.00695	1.013140547e+05	(2.698963515e-20 0.000000000e+00 0.000000000e+00)
        0.006975	1.013140898e+05	(1.619378109e-19 0.000000000e+00 2.698963515e-19)
           0.007	1.013141277e+05	(3.238756218e-19 0.000000000e+00 -3.238756218e-19)
        0.007025	1.013141683e+05	(2.698963515e-19 0.000000000e+00 -2.968859867e-19)
         0.00705	1.013142114e+05	(1.349481758e-19 0.000000000e+00 -1.349481758e-19)
        0.007075	1.013142571e+05	(2.698963515e-20 0.000000000e+00 -4.858134328e-19)
          0.0071	1.013143051e+05	(2.698963515e-20 0.000000000e+00 -4.318341624e-19)
        0.007125	1.013143554e+05	(-4.048445273e-19 0.000000000e+00 1.889274461e-19)
         0.00715	1.013144080e+05	(-2.698963515e-20 0.000000000e+00 -4.048445273e-19)
        0.007175	1.013144627e+05	(-5.397927031e-20 0.000000000e+00 8.096890546e-20)
          0.0072	1.013145197e+05	(0.000000000e+00 0.000000000e+00 -2.698963515e-20)
        0.007225	1.013145788e+05	(8.096890546e-20 0.000000000e+00 -5.397927031e-20)
         0.00725	1.013146400e+05	(-5.667823382e-19 0.000000000e+00 5.397927031e-19)
        0.007275	1.013147034e+05	(1.349481758e-19 0.000000000e+00 -1.079585406e-19)
          0.0073	1.013147689e+05	(-2.159170812e-19 0.000000000e+00 -4.588237976e-19)
        0.007325	1.013148366e+05	(2.698963515e-19 0.000000000e+00 -8.096890546e-20)
         0.00735	1.013149065e+05	(-1.619378109e-19 0.000000000e+00 -7.287201491e-19)
        0.007375	1.013149787e+05	(1.079585406e-19 0.000000000e+00 4.048445273e-19)
          0.0074	1.013150531e+05	(2.429067164e-19 0.000000000e+00 -2.429067164e-19)
        0.007425	1.013151299e+05	(0.000000000e+00 0.000000000e+00 2.698963515e-20)
         0.00745	1.013152090e+05	(-1.079585406e-19 0.000000000e+00 1.349481758e-19)
        0.007475	1.013152904e+05	(8.096890546e-20 0.000000000e+00 3.778548921e-19)
          0.0075	1.013153742e+05	(1.349481758e-19 0.000000000e+00 -1.619378109e-19)
        0.007525	1.013154604e+05	(0.000000000e+00 0.000000000e+00 0.000000000e+00)
         0.00755	1.013155489e+05	(-3.238756218e-19 0.000000000e+00 3.238756218e-19)
        0.007575	1.013156398e+05	(-1.889274461e-19 0.000000000e+00 1.889274461e-19)
